id,incorrect_name,length,ref_code,ref_name,ref_unit
-157486738112474197,"1100х2100, дверь наружная, однопольная стальная глухая правая, с доводчиком, утепленная, усиленная, замок цилиндрованный, порог, цвет ral 7016",142,,,
519543000376802365,"1050х2100, дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная ei30",250,,,
7097561629482907863,"1070х2110, дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная ei30",250,,,
-4954942000331628424,"900х1300, дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная ei30",249,,,
-1538888472778589229,"дверь влагостойкая однопольная, правая 1050x2100 толщина стены 130 мм",69,,,
-7821474499580253443,"дверь влагостойкая однопольная, правая 1050x2100 толщина стены 130-250 мм",73,,,
9107814907952797928,"дверь влагостойкая однопольная, правая 1050x2100 толщина стены 250 мм",69,,,
-3734715930990145769,"дверь влагостойкая однопольная,левая 1050x2100 толщина стены 250 мм",67,,,
-2203866756563474994,"дверь противопожарная 2100*900 мм (правая, 7035, с наличником, с порогом, размер по коробке)",92,,,
3175728084866614660,дверной блок металлический технический 2100*1100 ral 7016 правый,64,,,
-723773700675767715,дверной блок металлический технический ап 2100*1500 ral 7016 левый,66,,,
-5256144147628451018,дверной блок металлический технический усиленный 2100*1100 ral 7016 правый,74,,,
-1870689604937883614,фбс9.3.6-т блоки бетонные для стен и подвалов,45,,,
7025968925310970213,блок пвх оконный белый (14 шт),30,,,
-9202208435983176686,блок пвх оконный белый/белый с однокамерным ст/пакетом,54,,,
-4769863511648259327,блок фбс 9.3-6т,15,,,
3225853376335246881,"блоки из пеностекла, кашированные стеклохолстом неопорм d130 600x450x130",72,,,
4783978077486890769,"теплоизоляционные блоки из пеностекла ""изостек"" 600*500*130 мм, кэшированные битумом с одной стороны (ту 23.99.19-001 -10196323-2017)",133,,,
-7464163643109197333,блоки из ячеистого бетона d600 (100х250х600 мм),47,,,
1345049630559680810,блоки из ячеистого бетона d600 (150х250х600 мм),47,,,
-7475207599690302369,блоки из ячеистого бетона d600 (200х250х600 мм),47,,,
-3905448328579241055,блоки из ячеистого бетона d600 (400х250х600 мм),47,,,
-5692689542170586755,"бобышка сталь №5 бп-тм-30 для манометра вварная прямая g1/2"" l=30mm вр роома 00000024764",88,,,
-5429256286840296564,болт м20,8,,,
-5445270724855730389,болт анкерный м 16x1 80 оцинк.,30,,,
-7935328064924151094,болт анкерный м 16x140 оцинк.,29,,,
2164331731112639151,болт анкерный м 16x180 оцинк.,29,,,
-8514108785318663579,"болт din 933 с полн. рез., цинк, м10*35",39,,,
-8285159649065919622,"болт din 933 с полн. рез., цинк, м10*50",39,,,
1980117254019820591,болт м10*60 полнонарезной din933 цинк.,38,,,
-3608737361674430168,болт анкерный м16х 80 (hg) с крюком м12 оцинк.,46,,,
2602378516525019167,болт анкерный м16х130 (hg) с крюком м12 оцинк.,46,,,
352614635500952766,"framini анкерная гайка 15,0",27,,,
2445211945845975811,swfs анкерный болт с гайкой 16x150 15шт тов-071339,50,,,
7485953838953485302,"анкерная гайка 15,0",19,,,
-4885451220701589500,анкерный болт r-xpt-08085/20 (100шт),36,,,
-2530039699486968973,анкерный болт кт 16х150,23,,,
-3009580446472755077,анкерный болт с гайкой 20*200,29,,,
3844819591940786780,анкерный болт с гайкой 20х200,29,,,
-7525034084096650024,анкерный болт с гайкой 8*85,27,,,
2821593777835322585,болт анкерный м 16x140 сцинк.,29,,,
2174116187067305487,гайка стальная м 8 оцинкованная,31,,,
4399736057120487318,стандартный анкер с болтом м6,29,,,
2883443084574452947,усиленный анкер с болтом м6,27,,,
-3682673991622152143,"болт din 933 с полн. рез., цинк, м8*30",38,,,
-8432909269772379463,болт м8*60 полнонарезной din933 цинк,36,,,
7545861239653905809,наконечник кабельный кольцевой 4кв.мм под болт м8 2сте8м dkc,60,,,
-6499073937453473724,"110302-00173 болт консольный (1 шайба, 1 гайка) ссд",51,,,
-6540192288859329349,"болт консольный (1 шайба, 1 гайка) ссд",38,,,
-4788987082304754873,"болт консольный (1 шайба, 1 гайка) ссд — в наличии —",52,,,
7383499332777945853,"болт консольный (1 шайба, 1 гайка) ссд— в наличии —",51,,,
5435492522503172400,"болт консольный (1 шайба, 1 гайка) ссд(срок постаки 14 дней поставка к поставщику + 4 недели до клд)",100,,,
-101316615126690113,болт стальной однорас. в компл. с гайкой и шайбой 8х 90,55,,,
-947503172446157221,болт с шестигранной головкой м10х40 din 933 класс прочн. 5.8 оцинк. пакет (уп.20шт) стройметиз utgrm3012058,107,,,
-7751785750518778534,болт с шестигранной головкой м10х40 din 933 класс прочн. 5.8 оцинк. пакет (уп.20шт) стройметиз utorm3012058,107,,,
-7220985515583894744,болт с шестигранной головкой м10х50 din 933 класс прочн. 5.8 оцинк. пакет (ул.20шт) стройметиз utorm3012078,107,,,
4391670383932057167,болт с шестигранной головкой м10х50 din 933 класс прочн. 5.8 оцинк. пакет (уп.20шт) стройметиз utorm3012078,107,,,
9037418995707904569,болт с шестигранной головкой м10х60 din 933 класс прочн. 5.8 оцинк. пакет (уп.20шт) стройметиз utorm3012098,107,,,
-2085215526038941589,болт с шестигранной головкой м8х30 din 933 класс прочн. 5.8 оцинк. пакет (уп.60шт) стройметиз utorm3011638,106,,,
-5699998086757529991,болт с шестигранной головкой м8х30 din 933 класс прочн. 8.8 оцинк. пакет (уп.60шт) стройметиз utorm969093m830,109,,,
-7323145253300877720,болт с шестигранной головкой м8х60 din 933 класс прочн. 5.8 оцинк. пакет (уп.30шт) стройметиз utorm3011698,106,,,
-2909726908779654410,болт с шестигранной головкой м8х60 din 933 класс прочн. 5.8 оцинк. пакет (уп.зошт) стройметиз utorm3011698,106,,,
-3084186322529958702,"болт шестигранный м 10x30мм, класс прочности 10,9 фасовка 30шт",62,,,
2848836561852979169,"болт шестигранный м 10x40мм, класс прочности 10,9 фасовка 20шт",62,,,
5471023728124171677,"болт шестигранный м 10х40мм, класс прочности 10,9 фасовка 20шт",62,,,
-304822719370715108,болт м10х 40 din933 класс прочности 8.8 оц. срок поставки 2-3 раб дня,69,,,
8285078536400412732,"болт м16*75 кл.пр.8,8 din 933 оц",32,,,
5344771669074944908,болт м36х150 din933 класс прочности 8.8,39,,,
344585494007436135,"болт оцинкованный, класс прочности 5,8 din933 м8*25",51,,,
2338419726272162166,болт м 10x40 оцинк. 1шт.=32г,28,,,
837632762308772547,болт м 12x50 оцинк. 1шт.=60г,28,,,
5943907394085634509,"болт м10*50 кл.пр.8,8 din 933 оц.",33,,,
2788695841026319698,болт м10х50 оцинк. 1шт.=36.5г,29,,,
5819752057066604978,болт м10х60 оцинк. 1 шт.=42г,28,,,
2393451535648088564,болт м12х40 оцинк. 1 шт=50г (прочность 8.8),43,,,
6483862122564862563,болт м16х70 оцинк. 1шт.=148г,28,,,
-109125741674878255,болт м8х30 оцинк. 1шт.=16г,26,,,
367978305313915924,болт м8х50 оцинк. 1шт.=22г,26,,,
3205820519923118891,болт м8х50 оцинк. 1шт.=22г (прочность 8.8),42,,,
9124451660617431319,болт м8х60 оцинк. 1шт.=27г,26,,,
-4002955550415616596,"болт оцинкованный, класс прочности 5,8 din933 м10*30 (кг)",57,,,
3050200259780108755,болт с полной резьбой оц. м10х35,32,,,
-2646262490350435721,болт с полной резьбой оц. м12х50,32,,,
6504092887962003570,болт с полной резьбой оц. м14х70,32,,,
-7490756378348501316,болт с полной резьбой оц. м16х70,32,,,
-80298111130441181,болт с полной резьбой оц. м8х30,31,,,
-768329649128323662,анкер-болт оцинк. сталь amt3 m16-28/145,39,,,
-4842520892188671935,болт оцинкованный м16*70,24,,,
-3322250903915941338,анкер-болт оцинк. сталь amt3 m8-29/95,37,,,
-8584490961511668361,"болт din 933 с полн. рез., цинк, м14*70",39,,,
-4793300511621375993,болт оцинкованный м12*50,24,,,
-3724431144620105469,болт оцинкованный м14*70 (гост 7798-70),39,,,
-3354811841783956288,болт оцинкованный с полной резьбой м8*25,40,,,
7267131606498406861,s6k м10.0х035--в—-08.8 болт с шестигранной головкой гост 7798-70 +,66,,,
5991344960223972019,"болт din 933 с полн. рез., цинк, м36*150",40,,,
-4301405108148501156,"болт din 933 с полн. рез., цинк, м36*150 8.8",44,,,
-5186055361837641175,"cm080520, шестигранный болт м5х20 (dkc)",39,,,
-6144469615070648956,"cm080625, шестигранный болт м6х25 (dkc)",39,,,
3273189319351909372,болт с шестигранной головкой 10x35 din 933,42,,,
-3980747518290035999,болт с шестигранной головкой 12x50 din 933,42,,,
-4050020558303885821,болт с шестигранной головкой 14x70 din 933,42,,,
-1633547425121353785,болт с шестигранной головкой м5х20,34,,,
-5073871422325344438,болт с шестигранной головкой м5х20 (ул.100шт) dkc см080520,58,,,
7855323763688285298,болт с шестигранной головкой м6х25,34,,,
2084931395518500519,болт с шестигранной головкой м6х25 (ул.100шт) dkc см080625,58,,,
6767523239341636931,"метизный двор болт с шестигранной головкой 10x40 din 933, 100 шт. 4607159065209",79,,,
-3676852077602359090,"болт din 933 с полн. рез., цинк, м12*50",39,,,
7950201551627360409,"гайка din 934, цинк, м12 (25 кг)",32,,,
5483634899489403008,"гайка din 934, цинк, м36",24,,,
-8166327571590522115,"болт din 933, кл.пр. 8.8, цинк, м16*70",38,,,
6841237162905581909,болт m16x100 8.8zn din 933 + гайка m16 8zn din 934(срок постаки 4-6 недель),75,,,
5383625293645822019,"брус 50-100-6м пиломатериал обрезной из ели, консервированный, антисептированный",80,,,
8326075136983343850,брус обрезной 100х100х6000,26,,,
6324274439432790417,"брусок 100-100-6м пиломатериал обрезной из ели, консервированный, антисептированный",83,,,
-7173185663052517545,брус 100х100х6000мм гост хс профилированный,43,,,
102553913589383914,брус 100х100х6000мм гост хс сорт 1 профилированный,50,,,
3762130517689099940,брус 100х100х6000мм е/в хв/п (1-3 сорт деловой),47,,,
6926620377115283651,брус 100х100х6000мм ту оев профилированный,42,,,
7194883080014071137,брус профилированный 100x100,28,,,
-2794582023802056956,брус профилированный 100x100 (6м),33,,,
6601260037177150231,брус профилированный 100x100 (шт),33,,,
5056988949936415390,брус профилированный 100x100x6000,33,,,
7041127157845263119,"плитка тротуарная ""квадрат 300х80"", (без фаски), серая, м2",58,,,
-943087148440019829,плитка тротуарная «квадрат 300x80» (без фаски) (серая),54,,,
-7661913022310479394,бур milwaukee sds-plus мх4 20 x 450 мм (1шт),44,,,
-5115772447509459596,бур (sds+) ф 12x210,19,,,
-5768168906158193452,бур sds-plus 12x210мм практика серия профи,42,,,
-8738803861800632831,бур (sds+) ф 16x210,19,,,
-1409956995114868248,бур d  6 l 160 sds+,19,,,
-7131435191259876560,бур d  8 l 160 sds+,19,,,
-900927154164355946,бур d 10 l 160 sds+,19,,,
-3110339235819005202,бур d 10 l 210 sds+,19,,,
-2315936852131112309,бур d 12 l 210 sds+,19,,,
-5974431209584085367,бур d 16 l 210 sds+,19,,,
8274599118642933569,бур d 16 l210 sds+,18,,,
5247579636891506996,бур d 18 l 260 sds+,19,,,
-4565780915418139259,бур d 20 l 260 sds+,19,,,
-735649647024009819,бур d 4 l 160 sds+,18,,,
-2013018259093300675,бур d 6 l 160 sds+,18,,,
-4418028844025907439,бур d 6 l 210 sds+,18,,,
-1476876625490791781,бур d 8 l 160 sds+,18,,,
8428259165395098139,бур d 8 l 210 sds+,18,,,
-5130992840006222462,бур d 8 l 260 sds+,18,,,
-6493789038319594095,бур sds 10*160,14,,,
-7822428460787437391,бур sds+ 16*210,15,,,
-9023068773679713241,бур sds+ 18*260,15,,,
-3234288612765500288,бур sds-plus 16x210мм практика серия профи,42,,,
-701280425983907241,бур (sds+) ф 10x160,19,,,
3457649781781458351,бур (sds+) ф 10x210,19,,,
3796006063955947955,бур (sds+) ф 6x160,18,,,
4726257606108312113,бур (sds+) ф 8x160,18,,,
3996053801730289678,бур (sds-plus) 10 х 210 х 150 мм makita /d-00181,48,,,
3239237359470535684,бур (sds-plus) 12 х 210 х 150 мм makita /d-00234,48,,,
-6740596697209907554,бур (sds-plus) 6 х 210 х 150 мм makita /d-00072,47,,,
1691185417531554346,бур (sds-plus) 8 х 210 х 150 мм makita /d-00147,47,,,
-401732675501536306,бур sds 6x160мм,15,,,
-6035643746648191025,бур sds 8*160(экто),19,,,
-3041005985750332784,бур sds plus tw d8 tl280mm,26,,,
7227541996537413224,"бур sds-plus v plus 14*100/160, 2-cutting ""d.bor""",49,,,
8678152565977402536,бур cross plus 12*140*210 sds-plus espira,41,,,
-3023802025040932516,бур cross plus 16*185*260 sds-plus espira,41,,,
-6595150748413930361,бур cross plus 18*255*350 sds-plus espira,41,,,
600072130472476342,бур cross plus 20*255*350 sds-plus espira,41,,,
6502679406040837762,бур sds+ мх4 18x250 milwaukee 4932356502,40,,,
5648955512025489578,бур (sds+) ф 18x260,19,,,
-1030330425533388988,"вата из стекловолокна ursa geo m-15 50×1220×8000 мм (2 мата; 19,52 м2; 0,976 м3) 24 уп/пал",90,,,
-903633207556003071,ввод в стену для кабель-канала rqm 100 dkc 01776,48,,,
2870012087497955517,кабельный ввод 2000мм (female),30,,,
4381805889396568263,вентилятор канальный vkvr(p) ф100,33,,,
-5748445227230008130,"вентилятор осевой ywf(k)4d-500-zf (трехфазный 380 в, с настенной панелью)",73,,,
-3269640392279693800,вентилятор осевой вытяжной ywf4d- 500b,38,,,
-6890178130741483124,п2 резерв: вентилятор круглый канальный кв-м 100,48,,,
6227948196136830406,п2 резерв: вентилятор круглый канальный кв-м 125,48,,,
8974378303045126467,п2: вентилятор круглый канальный кв-м 100,41,,,
5160356263712791076,п2: вентилятор круглый канальный кв-м 125,41,,,
6862605676804362735,вентилятор канальный vkvr(p) ф125,33,,,
7270451629621293915,вентилятор крышный vkvt 40/31-4.1,33,,,
-232955780217388132,вентилятор крышный vkvt 56/35-4.1,33,,,
3686213991248361026,в6: вентилятор крышный крвр 40/28-2e (220в),43,,,
-4819137320377604700,"в7: вентилятор крышный крвр 56/35-4е (200в) 0,18 квт",52,,,
8220256777668349758,тепловая пушка прямого нагрева master в150 ced,46,,,
-5829244675580816668,воздуховод гибкий звукоизолированный акустик-стандарт 102х10,60,,,
5901888955015062236,воздуховод гибкий звукоизолированный акустик-стандарт 127х10,60,,,
2469637796334070464,воздуховод гибкий звукоизолированный акустик-стандарт 160х10,60,,,
2909139791881061732,воздуховод гибкий звукоизолированный акустик-стандарт 203х10,60,,,
7034916840146284608,воздуховод гибкий звукоизолированный акустик-стандарт 254х10,60,,,
-6480269429849623143,воздуховод гибкий неизолированный 0127мм (10м).,47,,,
5901632995099903576,воздуховод гибкий неизолированный 0160мм (10м).,47,,,
1123421137041910116,воздуховод гибкий неизолированный 0254мм (10м).,47,,,
-5766143814119487921,воздуховод гибкий неизолированный d102mm (10м).,47,,,
-4823767719806631800,воздуховод гибкий неизолированный о203мм (10м).,47,,,
-5103220828593373895,воздуховод звукопоглощающий 102,31,,,
-8262196309062172443,воздуховод звукопоглощающий 127,31,,,
2161789683581189046,воздуховод звукопоглощающий 160,31,,,
4052073978616088765,воздуховод звукопоглощающий 203,31,,,
-5791388014824575835,воздуховод звукопоглощающий 254,31,,,
-2735767885764844069,"саморезы кровельные 4,8*35 оцинков. (упак 50 шт)",48,,,
846042417595356563,"саморез кровельный с epdm, ral 5005 4,8*35",42,,,
-9040978309737628690,"сталер пленка полиэтиленовая техническая, 3х100м, 100 мкр э",59,,,
5083162445270426974,lk studio выключатель 2-кл. ох.5 открытой установки белый 811104,64,,,
-4692414291884334029,universal олимп выкл. 1 кл. бел. 00021,38,,,
6614095364987144519,выключатель 1кл откр.уст 10а (белый),36,,,
7969061273656741084,выключатель 1оп bolleto белый 7021 in номе,42,,,
8817871419808348007,выключатель 2кл откр.уст 10а (белый),36,,,
4827287102284951582,октава выключатель двухклавишный наружный белый,47,,,
830426593737959823,"автоматический выключатель ва 47-29, зр 63а (с) 4,5ка ekf basic",63,,,
-4795359180033429925,"выключатель автоматический 3п 63а (c) 4,5ка ва47-63",51,,,
-8409922598888584824,выключатель автоматический в модульном корпусе зп с 63а 4.5ка generica,70,,,
-700356171688079589,выключатель автоматический в модульном корпусе зп с 63а 6ка iek,63,,,
7542531606921499856,"автоматический выключатель ва 47-29, зр 32а (с) 4,5ка ekf basic",63,,,
5956135135024225917,"выключатель автоматический 3п 32а (c) 4,5ка ва47-63",51,,,
-2174720643321760523,выключатель автоматический в модульном корпусе 1 п в 32а 6ка ekf,64,,,
-2709137526833333956,выключатель автоматический в модульном корпусе зп в 32а 6ка dekrafl,67,,,
-401138929594514443,выключатель автоматический в модульном корпусе зп с 32а 4.5ка generica,70,,,
6487070066634011876,авт. выкл. 3р с100а,19,,,
-5015363608074092061,авт. выкл. nb1-63 1рс25а6ка (chint),35,,,
-270310221254006618,авт. выкл. nxb-63 зр с 32а6ка (chint),37,,,
-5538343455270000158,авт. выкл. nxb-63 зр с 40а6ка (chint),37,,,
-269016646120447788,ва51-35-340010 100а авт. выкл.,30,,,
3992227706808148961,ва51-35-340010 160а авт. выкл.,30,,,
3485268909745969190,ва51-35-340010 250а авт. выкл.,30,,,
-5973279159330500738,ва51-35-340010 320а авт. выкл.,30,,,
-2996561965686748574,выключатель автоматический 1п 16а (с) 6ка ва47-60,49,,,
-4573652871453202307,выключатель автоматический 3п 100а 25ка ва88-32,47,,,
1705216317515263756,выключатель автоматический в литом корпусе зп 125а 20ка generica,64,,,
6859743296092020204,выключатель автоматический в модульном корпусе зп в 40а 6ка ekf,63,,,
-2617263117999759840,выключатель автоматический зп 250а 36ка dekraft ва-303,54,,,
8888344849120079881,выключатель автоматический зп 25а (с) 6ка ва47-60,49,,,
-6759831169416406364,выключатель автоматический модульный 1 п с 16а 4.5ка ва47-29 iек mva20-1-016-c,78,,,
-1404440692688952104,"выключатель 1-кл. открытой установки ip20 10а, белый ""дача"" народная",68,,,
-666758125090869748,"выключатель 2-кл. открытой установки ip20 10а, белый ""дача"" народная",68,,,
-3795719018356835349,октава выключатель одноклавишный наружный белый,47,,,
-8616471867612763845,выключатель 1-клавишный о/у октава белый iek,44,,,
3076562112230576782,выключатель 1-клавишный оп 10а белый,36,,,
-8530757544877888783,выключатель 2- клавишный о/у октава белый iek,45,,,
-1686068120882842017,выключатель 2-клавишный оп 10а белый,36,,,
8743639128208526696,"выключатель минск, 1-клавишный, оп, 10 а, белый, basic egv1 0-021-10 (е kf)",75,,,
3549830937761367256,гайка шестигранная м10 цинк. din 934 (уп.90шт) класс прочности 5.8. пакет стройметиз utorm3030068,97,,,
5587218757557971312,гайка шестигранная м8 цинк. din 934 (уп.200шт) класс прочности 5.8. пакет стройметиз utorm3030058,97,,,
-7814950775121057033,гайка din934 оцинкованная м12,29,,,
-4315976900640385198,гайка din934 оцинкованная м14,29,,,
-1758947540490592449,гайка м12 оцинк. 1шт.=25г,25,,,
8917861307546142947,гайка м14 оцинк. 1шт.=28г,25,,,
4994608916978677741,гайка оц. din 934 м12,21,,,
640141154982199007,гайка оц. din 934 м14,21,,,
5998650376938359375,гайка оцинкованная м14,22,,,
-6837727112912414504,гайка шестигранная оцинкованная din934 м12,42,,,
5316983698997614036,гайка м16 оцинк. 1шт.=31г,25,,,
-5202797641769160552,гайка м16 оцинк. 1шт.=37г,25,,,
-776304116770540393,гайка оц. din 934 м16,21,,,
-7774913558328833143,гайка оцинкованная м16,22,,,
-1064005932240092923,гайка м20 оцинк. 1шт.=64г,25,,,
475350167945235537,tech-krep гайка din934 шестигранная оцинк. м10 50 шт - коробка с ок. 105249,75,,,
3313648908927300336,гайка din934 кл.пр. 8 м10 оц.,29,,,
7114316197121529008,гайка din934 м10 оц.. срок поставки 2-3 раб дня,47,,,
664648210143902018,гайка din934 оцинкованная m8,28,,,
7625696161811746053,гайка din934 оцинкованная м10,29,,,
-2878847892086176482,гайка м10 din934 оц,19,,,
-4989415004608825625,гайка м10 din934 оцинк.,23,,,
-3241838207035093358,гайка м10 оцинк. 1шт.=12г,25,,,
-3465018708535003717,гайка м8 (din934) оц,20,,,
8419112006557055661,гайка м8 оцинк. 1 шт.=5г,24,,,
6599008983328200388,гайка м8 оцинк. 1шт.=5г,23,,,
-7442258503919205988,гайка оц. din 934 м10,21,,,
519586017770267368,гайка оц. din 934 м8,20,,,
-5150763264683264143,гайка оцинкованная тип ftn м10,30,,,
-5111606857220791453,гайка оцинкованная тип ftn м8,29,,,
-5404422869774739476,"гайка шестигранная, оцинкованная din934 м10",43,,,
8185697049009533747,"гайка шестигранная, оцинкованная din934 м8",42,,,
-7004863138285260865,"хомут с гайкой и рез.оцин. 1/2 "" м8 (21-26) (200 шт в упак.)",60,,,
